Geography,Name_Geography,Year,RPL_Themes,WeightedAvgQuintile,TotalPopulation,Condition_TotalPop
County,King County,2018,0.501,0.379223327034418,3744,1868.256
County,King County,2018,0.2377,0.822862234780884,6538,4983.9174
County,King County,2018,0.5787,0.379223327034418,6339,2670.6207
County,King County,2018,0.237,0.822862234780884,8862,6761.706
County,King County,2018,0.4366,0.634212606975398,1982,1116.6588
County,King County,2018,0.0236,0.952011638249996,5875,5736.35
County,King County,2018,0.1171,0.822862234780884,5308,4686.4332
County,King County,2018,0.3243,0.634212606975398,4257,2876.4549
County,King County,2018,0.1518,0.822862234780884,8753,7424.2946
County,King County,2018,0.2571,0.634212606975398,5362,3983.4298
County,King County,2018,0.2114,0.822862234780884,4092,3226.9512
County,King County,2018,0.0658,0.952011638249996,4807,4490.6994
County,King County,2018,0.0991,0.952011638249996,3575,3220.7175
County,King County,2018,0.1663,0.822862234780884,7975,6648.7575
County,King County,2018,0.0755,0.952011638249996,5510,5093.995
County,King County,2018,0.0437,0.952011638249996,4416,4223.0208
County,King County,2018,0.0471,0.952011638249996,5316,5065.6164
County,King County,2018,0.4629,0.634212606975398,5680,3050.728
County,King County,2018,0.1781,0.822862234780884,5344,4392.2336
County,King County,2018,0.0665,0.952011638249996,7429,6934.9715
County,King County,2018,0.0291,0.952011638249996,6816,6617.6544
County,King County,2018,0.052,0.952011638249996,6875,6517.5
County,King County,2018,0.0527,0.952011638249996,5683,5383.5059
County,King County,2018,0.0326,0.952011638249996,8504,8226.7696
County,King County,2018,0.7824,0.127658473899107,4717,1026.4192
County,King County,2018,0.7491,0.127658473899107,7792,1955.0128
County,King County,2018,0.422,0.634212606975398,7041,4069.698
County,King County,2018,0.0374,0.952011638249996,3678,3540.4428
County,King County,2018,0.0762,0.952011638249996,4194,3874.4172
County,King County,2018,0.5177,0.379223327034418,5300,2556.19
County,King County,2018,0.0076,0.952011638249996,3674,3646.0776
County,King County,2018,0.1317,0.822862234780884,3157,2741.2231
County,King County,2018,0.4657,0.634212606975398,7314,3907.8702
County,King County,2018,0.6798,0.379223327034418,3854,1234.0508
County,King County,2018,0.2536,0.634212606975398,3644,2719.8816
County,King County,2018,0.0478,0.952011638249996,8458,8053.7076
County,King County,2018,0.1462,0.822862234780884,7920,6762.096
County,King County,2018,0.0541,0.952011638249996,6457,6107.6763
County,King County,2018,0.7117,0.379223327034418,3198,921.9834
County,King County,2018,0.1428,0.822862234780884,3034,2600.7448
County,King County,2018,0.1053,0.822862234780884,2151,1924.4997
County,King County,2018,0.3035,0.634212606975398,6631,4618.4915
County,King County,2018,0.1137,0.822862234780884,5940,5264.622
County,King County,2018,0.0381,0.952011638249996,6155,5920.4945
County,King County,2018,0.1552,0.822862234780884,5061,4275.5328
County,King County,2018,0.0873,0.952011638249996,3316,3026.5132
County,King County,2018,0.2231,0.822862234780884,3180,2470.542
County,King County,2018,0.1033,0.822862234780884,5380,4824.246
County,King County,2018,0.1164,0.822862234780884,5764,5093.0704
County,King County,2018,0.2245,0.822862234780884,4210,3264.855
County,King County,2018,0.1005,0.952011638249996,3814,3430.693
